Zamania,25.43333,83.56667
Zaidpur,26.83333,81.33333
Zafarabad,25.7,82.73333
Wazirganj,28.21667,79.05
Vrindavan,27.58333,77.7
Benares,25.33333,83
Utraula,27.31667,82.41667
Usehat,27.7986,79.2393
Unnao,26.53333,80.5
Un,29.58472,77.25417
Ujhani,28.01667,79.01667
Ugu,26.78333,80.33333
Tundla,27.2,78.28333
Tulsipur,27.55,82.41667
Tori Fatehpur,25.45,79.13333
Titron,29.66806,77.3225
Tindwari,25.61667,80.53333
Tilhar,27.98333,79.73333
Tikri,29.23333,77.35
Tikamgarh,24.745,78.8333
Tikaitnagar,26.95,81.58333
Thana Bhawan,29.58639,77.41667
Thakurdwara,29.2,78.85
Tanda,28.98333,78.93333
Tanda,26.55,82.65
Talgram,27.05,79.65
Tajpur,29.16667,78.48333
Surianwan,25.46667,82.41667
Sultanpur,26.26667,82.06667
Suar,29.03333,79.05
Soron,27.88333,78.75
Sitapur,27.56667,80.68333
Siswa Bazar,27.15,83.76667
Sisauli,29.41667,77.46667
Sirsi,28.65,78.65
Sirsaganj,27.05,78.7
Sirsa,25.28333,82.08333
Sirathu,25.65,81.31667
Sikandra Rao,27.7,78.4
Sikandra,26.36667,79.65
Sikandarpur,26.05,84.05
Sikandarabad,28.45,77.7
Sidhpura,27.63333,78.88333
Sidhauli,27.28333,80.83333
Shishgarh,28.71667,79.31667
Shikohabad,27.1,78.6
Shikarpur,28.28333,78.01667
Sherkot,29.35,78.58333
Shergarh,28.65,79.35
Shamsabad,27.53333,79.43333
Shamsabad,27.01667,78.13333
Shamli,29.45,77.31667
Shahpur,29.35,77.55
Shahjahanpur,27.88333,79.91667
Shahi,28.55,79.31667
Shahganj,26.05,82.68333
Shahabad,28.56667,79.01667
Shahabad,27.65,79.95
Seohara,29.21667,78.58333
Saurikh,27.029,79.4896
Satrikh,26.86667,81.2
Sasni,27.71667,78.08333
Sarila,25.76667,79.68333
Sardhana,29.15,77.61667
Sarauli,28.5,79.1
Sarai Mir,26.01667,82.91667
Sarai Ekdil,26.75,79.1
Sarai Akil,25.38333,81.51667
Sandila,27.08333,80.51667
Sandi,27.3,79.95
Sambhal,28.58333,78.55
Salon,26.03333,81.45
Sakit,27.45,78.81667
Saidpur,28.61667,77.91667
Saidpur,25.55,83.18333
Sahawar,27.8,78.85
Sahaswan,28.08333,78.75
Sahaspur,29.13333,78.61667
Saharanpur,29.96667,77.55
Safipur,26.73333,80.35
Sadat,25.68333,83.28333
Sadabad,27.45,78.05
Rura,26.48333,79.9
Rudarpur,26.43944,83.61444
Robertsganj,24.7,83.06667
Richha,28.7,79.51667
Renukut,24.2,83.03333
Raya,27.56667,77.78333
Rath,25.58333,79.56667
Rasulabad,26.75,80.48333
Rasra,25.85,83.85
Ranipur,25.25,79.06667
Rampura,26.3497,79.1833
Rampur,29.81667,77.45
Rampur,28.81667,79.03333
Ramnagar,27.08333,81.41667
Ramnagar,25.28333,83.03333
Ramkola,26.90417,83.84111
Rajapur,25.38333,81.15
Rajakhera,26.89611,78.17139
Rae Bareli,26.21667,81.23333
Radha Kund,27.53333,77.48333
Rabupura,28.25,77.6
Purwa,26.46667,80.78333
Puranpur,28.51667,80.15
Pukhrayan,26.23333,79.85
Pratapgarh,25.9,81.95
Pipraich,26.82639,83.53
Pinahat,26.88389,78.37806
Pilkhua,28.71667,77.65
Pilibhit,28.63333,79.8
Pihani,27.63333,80.2
Phulpur,26.08333,82.86667
Phulpur,25.55,82.1
Phariha,27.31667,78.48333
Phaphund,26.6,79.46667
Phalauda,29.18333,77.81667
Pawayan,28.06667,80.1
Patti,25.91667,82.2
Patiali,27.71667,79.01667
Parshadepur,26.08333,81.51667
Parichhatgarh,28.98333,77.93333
Parichha,25.51667,78.75
Palia Kalan,28.45,80.58333
Pali,24.48333,78.41667
Pahasu,28.18333,78.05
Padrauna,26.9025,83.98194
Pachperwa,27.51667,82.65
Orchha,25.35,78.65
Oran,25.38333,80.75
Orai,25.98333,79.46667
Obra,24.41667,82.98333
Nurpur,29.15,78.41667
Nizamabad,26.05056,83.05889
Niwari,28.88333,77.53333
Nihtaur,29.33333,78.38333
Nichlaul,27.31667,83.73333
Nawabganj,28.55,79.63333
Nawabganj,26.93333,81.21667
Nawabganj,26.86667,82.13333
Nautanwa,27.43333,83.41667
Naraura,28.2,78.38333
Narauli,28.5,78.71667
Nanpara,27.86667,81.5
Nandgaon,27.71667,77.38333
Nanauta,29.7125,77.41583
Nakur,29.91667,77.3
Najibabad,29.63333,78.33333
Nagram,26.61667,81.13333
Nagina,29.45,78.45
Muzaffarnagar,29.46667,77.68333
Musafirkhana,26.36667,81.8
Mursan,27.58333,77.93333
Muradnagar,28.78333,77.5
Muhammadabad,27.31667,79.45
Muhammadabad,26.03306,83.38389
Muhammadabad,25.63333,83.75
Mughal Sarai,25.3,83.11667
Mubarakpur,26.09,83.29222
Moth,25.71667,78.95
Moradabad,28.83333,78.78333
Mohanpur,28.26667,80.25
Mohan,26.78333,80.68333
Misrikh,27.45,80.51667
Mirzapur,25.15,82.58333
Mirganj,28.55,79.2
Miranpur Katra,28.03333,79.65
Miranpur,29.3,77.93333
Milak,28.61667,79.18333
Mehndawal,26.97528,83.11167
Mehnagar,25.88333,83.11667
Meerut,28.98333,77.7
Mawana,29.1,77.91667
Maurawan,26.43333,80.88333
Maudaha,25.68333,80.11667
Mau Aimma,25.7,81.91667
Mau,25.95,83.55
Mathura,27.5,77.68333
Mataundh,25.45,80.15
Mariahu,25.61667,82.61667
Marahra,27.73333,78.58333
Mankapur,27.03333,82.23333
Manjhanpur,25.53333,81.38333
Manikpur,25.06667,81.11667
Maniar,25.98333,84.16667
Manglaur,29.8,77.86667
Mandawar,29.5,78.13333
Malihabad,26.91667,80.71667
Mainpuri,27.23333,79.01667
Mailani,28.28333,80.35
Mahroni,24.5862,78.7288
Maholi,27.66667,80.46667
Mahoba,25.28333,79.86667
Mahmudabad,27.3,81.11667
Maharajganj,27.13333,83.56667
Maharajganj,26.36667,81.28333
Maharajganj,26.25194,83.11861
Mahaban,27.43333,77.75
Maghar,26.75722,83.12778
Madhogarh,26.276,79.1869
Madhoganj,27.11667,80.15
Machhlishahr,25.68333,82.41667
Loni,28.75,77.28333
Lawar Khas,29.11667,77.76667
Lar,26.20389,83.97167
Lalitpur,24.68333,78.41667
Lalganj,25.93333,81.7
Lakhna,26.65,79.15
Lakhimpur,27.95,80.76667
Laharpur,27.71667,80.9
Kurara,25.98333,79.98333
Kundarkhi,28.7,78.78333
Kunda,25.71667,81.51667
Kulpahar,25.31667,79.65
Kotwa,25.01667,81.31667
Kotra,25.81667,79.31667
Kota,24.45,83.13333
Kopaganj,26.02333,83.56583
Konch,25.98333,79.15
Kithor,28.86667,77.93333
Kishni,27.0247,79.2634
Kishanpur,25.65,81.01667
Kiratpur,29.51667,78.2
Kiraoli,27.15,77.78333
Kirakat,25.63333,82.91667
Khutar,28.2,80.28333
Khurja,28.25,77.85
Khudaganj,28.15,79.71667
Kheri,27.9,80.8
Khekra,28.86667,77.28333
Khatauli,29.28333,77.71667
Kharkhauda,28.83333,77.75
Khargupur,27.38333,81.98333
Kharela,25.55,79.81667
Khanpur,28.53333,78.05
Khalilabad,26.775,83.07361
Khairabad,27.53333,80.75
Khair,27.95,77.83333
Khailar,25.35,78.53333
Khaga,25.78333,81.11667
Khada,27.18333,83.88333
Kemri,28.81667,79.21667
Katra,27.51667,82.01667
Kasganj,27.81667,78.65
Karhal,27.00028,78.94139
Karari,25.45,81.43333
Kaptanganj,26.92667,83.71528
Kanth,29.06667,78.63333
Kant,27.8,79.8
Kanpur,26.46667,80.35
Kannauj,27.0546,79.922
Kandhla,29.31667,77.26667
Kampil,27.61667,79.28333
Kamalganj,27.26667,79.65
Kalpi,26.11667,79.73333
Kalinagar,28.61667,80.1
Kakrala,27.8927,79.1965
Kakori,26.88333,80.8
Kairana,29.4,77.2
Kaimganj,27.56667,79.35
Kadipur,26.16667,82.38333
Kadaura,25.98333,79.85
Kachhwa,25.21667,82.71667
Kabrai,25.41667,80.01667
Jhusi,25.43333,81.93333
Jhinjhana,29.51667,77.21667
Jhinjhak,26.56667,79.73333
Jhansi,25.43333,78.58333
Jhalu,29.35,78.25
Jaunpur,25.73333,82.68333
Jaswantnagar,26.87861,78.90278
Jasrana,27.25,78.68333
Jarwal,27.16667,81.55
Jansath,29.33333,77.85
Jalesar,27.48333,78.31667
Jalaun,26.1451,79.3366
Jalalpur,26.31667,82.73333
Jalali,27.86667,78.26667
Jalalabad,29.61861,77.43833
Jalalabad,27.7242,79.6599
Jais,26.25,81.53333
Jainpur,26.15333,83.33472
Jahangirpur,28.18333,77.71667
Jahangirabad,28.41667,78.1
Jahanabad,28.63333,79.71667
Itimadpur,27.25,78.2
Itaunja,27.08333,80.91667
Islamnagar,28.33333,78.71667
Indergarh,26.9352,79.6724
Ikauna,27.55,81.96667
Iglas,27.71667,77.93333
Hathras,27.6,78.05
Hata,26.74611,83.74028
Hastinapur,29.16667,78.01667
Hasanpur,28.71667,78.28333
Harduaganj,27.95,78.16667
Hardoi,27.41667,80.11667
Haraiya,26.8,82.46667
Hapur,28.71667,77.78333
Handia,25.38333,82.18333
Hamirpur,25.95,80.15
Haldaur,29.3,78.28333
Gyanpur,25.35,82.46667
Gursarai,25.6148,79.1788
Gursahaiganj,27.11667,79.71667
Gunnaur,28.25,78.43333
Gulaothi,28.6,77.78333
Govardhan,27.5,77.46667
Goshainganj,26.76667,81.11667
Gosainganj,26.58333,82.38333
Gorakhpur,26.755,83.37389
Gopamau,27.55,80.28333
Gonda,27.13333,81.93333
Gola Gokarannath,28.08333,80.46667
Gola Bazar,26.34306,83.35528
Gokul,27.45,77.71667
Gohand,25.7,79.55
Ghosi,26.10833,83.54361
Ghorawal,24.76667,82.78333
Ghiror,27.18333,78.8
Ghazipur,25.58333,83.56667
Ghaziabad,28.66667,77.43333
Ghatampur,26.16667,80.16667
Gawan,28.43333,78.35
Garhmuktesar,28.8,78.1
Garhi Pukhta,29.54889,77.30667
Garautha,25.56667,79.3
Ganj Muradabad,26.96667,80.18333
Gangoh,29.76667,77.25
Gajraula,28.85,78.23333
Firozabad,27.15,78.41667
Fatehpur Chaurasi,26.78333,80.26667
Fatehpur,27.16667,81.21667
Fatehpur,25.93333,80.8
Fatehgarh,27.36667,79.63333
Fatehganj West,28.46667,79.3
Fatehabad,27.01667,78.31667
Farrukhabad,27.4,79.56667
Faridpur,28.21667,79.55
Faridnagar,28.76667,77.61667
Farah,27.33333,77.76667
Faizabad,26.78333,82.13333
Etawah,26.7769,79.0239
Dundwaraganj,27.73333,78.95
Dudhi,24.21667,83.25
Dostpur,26.28333,82.46667
Dohrighat,26.26444,83.51639
Dibai,28.21667,78.25
Dhaurahra,28,81.08333
Dhanaura,28.96667,78.25
Dhampur,29.31667,78.51667
Dewa,27.03333,81.16667
Deoria,26.50472,83.78722
Deoranian,28.63333,79.48333
Deoband,29.7,77.68333
Dayal Bagh,27.21667,78.01667
Daurala,29.11667,77.68333
Dataganj,28.03333,79.4
Dasna,28.68333,77.53333
Dankaur,28.35,77.55
Dalmau,26.06667,81.03333
Dadri,28.56667,77.55
Colonelganj,27.13333,81.7
Chunar,25.13333,82.9
Chopan,24.51667,83.03333
Chillupar,26.28222,83.50833
Chhibramau,27.1483,79.4979
Chhata,27.71667,77.5
Chharra,27.93333,78.41667
Charthawal,29.55,77.58333
Charkhari,25.4,79.75
Chandpur,29.15,78.26667
Chandausi,28.45,78.76667
Chandauli,25.26667,83.26667
Chakia,25.05,83.21667
Chail,25.43333,81.63333
Bulandshahr,28.4,77.85
Budhana,29.28333,77.46667
Budaun,28.05,79.11667
Bithur,26.63333,80.28333
Biswan,27.5,81
Bisenda Buzurg,25.41667,80.61667
Bisauli,28.31667,78.93333
Bisalpur,28.3,79.8
Bindki,26.03333,80.6
Belthara,26.12306,83.86889
Bilsi,28.13333,78.91667
Bilsanda,28.25,79.95
Bilhaur,26.85,80.08333
Bilgram,27.18333,80.03333
Bilaspur,28.88333,79.26667
Bilaspur,28.4,77.61667
Bilariaganj,26.19861,83.23333
Bilari,28.63333,78.8
Bikapur,26.6,82.13333
Bijnor,29.36667,78.13333
Bighapur,26.35,80.68333
Bidhuna,26.8022,79.5088
Bhongaon,27.25,79.18333
Bhinga,27.71667,81.93333
Bharwari,25.55,81.5
Bharthana,26.7571,79.2248
Bhagwantnagar,26.23333,80.75
Bhadohi,25.41667,82.56667
Bewar,27.2184,79.3005
Beswan,27.65,77.88333
Beniganj,27.28333,80.45
Bela,25.93333,81.98333
Behat,30.16667,77.61667
Basti,26.8,82.71667
Barsana,27.65,77.38333
Barkhera,28.45,79.8
Bareilly,28.35,79.41667
Baraut,29.1,77.26667
Baragaon,25.48333,78.71667
Baragaon,25.43333,82.81667
Bansi,27.18333,82.93333
Bansgaon,26.55861,83.34806
Bangarmau,26.9,80.21667
Banda,25.48333,80.33333
Banat,29.46667,77.35
Balrampur,27.43333,82.18333
Baldeo,27.41667,77.81667
Bakewar,26.66667,79.18333
Bajna,27.9,77.68333
Bahua,25.85,80.63333
Bahsuma,29.21667,77.96667
Bahraich,27.58333,81.6
Bahjoi,28.4,78.61667
Baheri,28.78333,79.5
Bah,26.87,78.5975
Baghpat,28.95,77.21667
Bachhrawan,26.48333,81.11667
Bachhraon,28.93333,78.21667
Babugarh,28.71667,77.85
Babrala,28.26667,78.4
Babina,25.25,78.46667
Baberu,25.55,80.71667
Azamgarh,26.06,83.18611
Ayodhya,26.8,82.2
Auras,26.91667,80.51667
Auraiya,26.46667,79.51667
Atraulia,26.33333,82.95
Atrauli,28.03333,78.28333
Atarra,25.28333,80.56667
Aonla,28.28333,79.15
Anupshahr,28.36667,78.26667
Antu,26.05,81.91667
Anandnagar,27.1,83.28333
Amroha,28.91667,78.46667
Amethi,28.01667,81.05
Amethi,26.15,81.81667
Ambahta,29.85,77.33333
Amanpur,27.71667,78.75
Allahganj,27.5461,79.6878
Allahabad,25.45,81.85
Aligarh,27.88333,78.08333
Aliganj,27.5,79.18333
Akbarpur,26.41667,82.55
Akbarpur,26.38333,79.95
Ahraura,25.01667,83.01667
Agra,27.18333,78.01667
Afzalgarh,29.4,78.68333
Achhnera,27.18333,77.76667
Chhutmalpur,30.03139,77.7525
Banbasa,28.99132,80.07608
Noida,28.58,77.33
